Order;Type;Organization;Position;Start;End;Duration (Year);City ;State;Association;Description;Tools;Hard Skill;Soft Skill;Category;Start_MY;End_MY
11;Activity;Sparkling Ramadhan;Head of Event Division;2023-04-21;2023-04-21;0.0;Bogor;Indonesia;['Bogor Agricultural (IPB) University', ' The Professional Association of Postgraduate Statistics Students (Himpunan Profesi (HImpro) Pascasarjana Statistika)'];Sparkling Ramadhan is a sharing event organized by Himpro to enhance spirituality and internal togetherness within the Department of Statistics and Data Science, IPB University, while also strengthening the bonds of friendship within the department. Additionally, this event is part of the community service agenda, which includes providing donations to orphans around IPB University. As the event division chairperson, my main responsibility was to organize the event details from start to finish and coordinate with other divisions to ensure the event's success. During this event, the series of activities proceeded according to the rundown, and there were no issues.;['Microsoft Office', ' Google Workspace'];['Event Organization'];['Time Management', ' Creative Thinking'];Unrelated to Job;04-2023;04-2023
12;Activity;Statistics on Training #2: Advanced Web Crawling & Web Scraping;Chief Executive;2023-04-20;2023-05-25;0.08333333333;Bogor;Indonesia;['Bogor Agricultural (IPB) University', ' The Professional Association of Postgraduate Statistics Students (Himpunan Profesi (HImpro) Pascasarjana Statistika)'];A knowledge-sharing session on Advanced Web Crawling and Web Scraping, accompanied by intensive hands-on practice using R to collect data from a website. This is crucial for postgraduate students of the Department of Statistics, IPB University, as data management and collection are essential skills that every student must possess. As the chief organizer, I was responsible for the overall smooth running of the event and the details concerning its success. With online meetings held once a week, this activity aimed to provide participants with optimal skill enhancement opportunities. This event was exclusively attended by 24 participants out of the 25 available slots.;['Microsoft Office', ' Zoom', ' Google Workspace'];['-'];['Time Management', ' Critical Thinking', ' Leadership', ' Communication', ' Public Speaking', ' Networking', ' Delegating', ' Team Work'];Unrelated to Job;04-2023;05-2023
13;Activity;Happiness Index of Depok Regency 2023;Data Analyst;2023-06-23;2023-08-31;0.1666666667;Depok;Indonesia;['Bogor Agricultural (IPB) University'];A collaborative project between Department of Statistics, IPB University with Depok Regency Policy Makers to collect, analyze, and publish the happiness index statistics of Depok Regency 2023.;['R', ' Ms Excel', ' Canva'];['Statistical Analysis', ' Data Analysis', ' Pivot Table', ' Data Visualization', ' Report Making'];['Time Management', ' Public Speaking', ' Presenting', ' Communication', ' Team Work', ' Networking'];Related to Job;06-2023;08-2023
14;Activity;Happiness Index of Bekasi Regency 2023;Data Analyst;2023-06-23;2023-10-20;0.25;Bekasi;Indonesia;['Bogor Agricultural (IPB) University'];A collaborative project between Department of Statistics, IPB University with Bekasi Regency Policy Makers to collect, analyze, and publish the happiness index statistics of Bekasi Regency 2023.;['R', ' Ms Excel', ' Canva'];['Statistical Analysis', ' Data Analysis', ' Pivot Table', ' Data Visualization', ' Report Making'];['Time Management', ' Public Speaking', ' Presenting', ' Communication', ' Team Work', ' Networking'];Related to Job;06-2023;10-2023
15;Activity;Welcoming New Postgraduate Students;Master of Ceremonies;2023-08-11;2023-08-29;0.0;Bogor;Indonesia;['Bogor Agricultural (IPB) University', ' The Professional Association of Postgraduate Statistics Students (Himpunan Profesi (HImpro) Pascasarjana Statistika)'];"Himpro is also responsible for introducing new students to campus life during their postgraduate education, where IPB University has a distinct campus culture compared to other universities in Indonesia. As the MC, I was responsible for guiding the event smoothly. Despite my limitations, I successfully managed to lead the event to its completion. This experience significantly enhanced my soft skills in public speaking.
";['-'];['-'];['Public Speaking', ' Communication', ' Critical Thinking', ' Fast Thinking'];Unrelated to Job;08-2023;08-2023
16;Activity;Web Seminar: Statistical Journals Publication and Writings;Moderator, Master of Ceremonies;2023-08-10;2023-09-15;0.08333333333;Bogor;Indonesia;['Bogor Agricultural (IPB) University', ' The Professional Association of Postgraduate Statistics Students (Himpunan Profesi (HImpro) Pascasarjana Statistika)'];This webinar, organized by Himpro, aimed to deepen the knowledge of students, especially postgraduates at IPB University, who are interested in publishing their research, a process that typically takes a long time. During this sharing session, participants were encouraged to discuss in detail with the speakers about research in the field of statistics and the publication process. As the MC and moderator, my responsibility was to guide the discussion and ensure the smooth progression of the event from start to finish so that participants could gain as much insight as possible from the speakers, in line with the initial objectives of the webinar.;['-'];['-'];['Public Speaking', ' Communication', ' Critical Thinking', ' Fast Thinking'];Unrelated to Job;08-2023;09-2023
17;Lecture;Multivariate Data Techniques;Assistant Lecture;2023-08-11;2023-12-29;0.3333333333;Bogor;Indonesia;['Bogor Agricultural (IPB) University'];A class for Bachelor Degree of Statistics and Data Science, IPB University.;['R', ' Canva', ' Git'];['Multivariate Data Analysis', ' Clustering', ' PCA', ' Dimension Reduction', ' Data Visualization', ' Data Exploration'];['Public Speaking', ' Leadership', ' Communication', ' Presentation'];Related to Job;08-2023;12-2023
18;Lecture;Statistics for Engineering;Assistant Lecture;2023-08-11;2023-12-29;0.3333333333;Bogor;Indonesia;['Bogor Agricultural (IPB) University'];A class for Master Degree of Food Technology, IPB University.;['R', ' Canva', ' Git'];['Statistical Analysis', ' Hypothesis Testing', ' Data Visualization', ' Data Exploration', ' Assumption Test', ' Experimental Design'];['Public Speaking', ' Leadership', ' Communication', ' Presentation'];Related to Job;08-2023;12-2023
19;Activity;Closing Ceremony DTS TSA IPB x Kominfo RI;PR, Decoration & Documentation Division Head;2023-11-21;2023-11-24;0.0;Bogor;Indonesia;['Bogor Agricultural (IPB) University', ' Indonesian  Ministry of Communication Information and Technology'];DTS TSA is a collaboration between the Ministry of Communication and Information Technology of the Republic of Indonesia (Kominfo RI) and the Department of Statistics and Data Science, IPB University, to facilitate data science training for students from various universities across Indonesia. The closing ceremony was held to conclude the training and to award the students who performed best during the program. As the PR, Decoration & Documentation Division Head, I was responsible for preparing all designs and multimedia needs, including videotron content, video editing, pamphlets, posters, and other multimedia equipment within a short timeframe. This experience was very challenging because the participating team was limited and the deadlines were very tight. Additionally, design work was entirely new to me.;['Canva', ' iMovie'];['Video Editing', ' Graphic Design'];['Team Work', ' Time Management', ' Attention to Details', ' Multitasking', ' Delegating', ' Leadership'];Unrelated to Job;11-2023;11-2023
20;Lecture;Text Analytics;Assistant Lecture;2024-01-19;2024-06-27;0.4166666667;Bogor;Indonesia;['Bogor Agricultural (IPB) University'];A class for Master Degree of Statistics and Data Science, IPB University.;['Python', ' Pytorch', ' Tensorflow', ' Keras', ' GPU Processing Unit'];['Natural Language Processing', ' Text Analysis', ' Deep Learning', ' Machine Learning', ' Data Visualization', ' Data Cleaning', ' Web Scraping', ' Web Crawling'];['Public Speaking', ' Leadership', ' Communication', ' Presentation'];Related to Job;01-2024;06-2024
